issue_id,commit_id,method,score
MNG-4642,1a7361596b905497890d5ca90268003b4b0c3ace,default,1
MNG-4732,260867adc23d4e8622fd872aa27cdd13b9f6bff5,default,1
MNG-4744,97bf1f10bc9b5a2a5f308fb9715e3471d7a1ca9a,default,1
MNG-4782,901e5999865d7f4456acd72bf25b90e625c680e7,default,1
MNG-4787,fc2a9f9a263ff85f92fb4d451e130154a265375d,default,1
MNG-4824,3996f56e8578885d9ea9a57e38775df8f3b61013,default,1
MNG-4825,1be90a985a25e206682a9220b78dfe1f66700ab5,default,1
MNG-4860,947973e8571dfd7266895420bd9f8a22c250a516,default,1
MNG-4891,32b45f5ae8a78ca9bdcaa45ef5b8ef73c464f7a9,default,1
MNG-4896,99b2cd257611da6d72d4cd6122c31f87a4361a96,default,1
MNG-4904,0bfec136dbcc219aa8fef9d0501998eefa705ff5,default,1
MNG-4907,a702225a3185cbd60039196d459b9426a4dc0385,default,1
MNG-4909,c00f454a9b18da52d7696c2f08d29e887f8abea2,default,1
MNG-4910,38ced22fdab643f23624a6792b7acfc32888dbff,default,1
MNG-4912,a78ef2d82649f437aed6b93fa40f772463423cb9,default,1
MNG-4916,e2600769242dcbee9702a40fe6754f767fe2dd8d,default,1
MNG-4922,1dd8021f1b64420f7602077e90531eecf0d7505e,default,1
MNG-4922,6f9be24b14431b2406f7df6eeb00fa68e7d6ca05,default,1
MNG-4926,1dd8021f1b64420f7602077e90531eecf0d7505e,default,1
MNG-494,cda19f2e5c5e896ba8468b58f30980ffb4165db6,default,1
MNG-4944,6b46e511790daa6943b9e39dd21da71e01ca3851,default,1
MNG-4950,0a376bb684b152f5b554970c237852a5c3699d87,default,1
MNG-4953,32dd64f76eca6ca1810571b7cc906edcff0beefe,default,1
MNG-4971,11f5546e6dab2ef0d9877d49c476ef1c00628821,default,1
MNG-4988,e8f8fdbadc5bea26d0483deb11974ee45f82c29e,default,1
MNG-502,beff5623f27c39139b81a36abd9d2c73de53264a,default,1
MNG-5073,86197aa24a098d90477e71feed6659689d5ac331,default,1
MNG-5073,c3bf134f5717019581b7445467738a6142c1078c,default,1
MNG-511,cb257db78ebf0ed7e1079606a11ebf7c80736c6f,default,1
MNG-512,a9b0b68d20324a1d10fb4eb5967789b266d56590,default,1
MNG-5141,0ffb849a06ceadb545560f949bddff9e70d1b243,default,1
MNG-5151,c7c79e1f1a5ce5c6b213dfcca24108cf650aaedb,default,1
MNG-5159,51ec875d179b6084a32bbdf8b7ccc3d21f9ba2b9,default,1
MNG-516,f04f9ed2a600d7739cc18a341e5f14a970d79f17,default,1
MNG-517,12a5cf71695663862f976ce07585e6514800d2b4,default,1
MNG-5176,5c78a8d2faa99398b2a8170fd3cf804ae0385e94,default,1
MNG-5176,be19ddb6d92a6162c0b0cd0673f94dd5f570282b,default,1
MNG-518,36d0a854e1ea088bcefb71956f258dc2b3faef7b,default,1
MNG-5181,720bef7df7bb2c7f7e19930d66b00518b50a3ed8,default,1
MNG-5181,114c98f31054026b638d38438ef35669e0a7fb4d,default,1
MNG-5181,8ada7e763b9d2333c34d397ae64294cd0f5b0128,default,1
MNG-5181,27f8b0f81af3bf49cba251e2e857a7e67562132f,default,1
MNG-521,31ac06f7e28dc9148c094b8004c7ffd30da9383e,default,1
MNG-5338,541bc917e84fa00ebb33705df42571e3ddd86c8d,default,1
MNG-5350,23097a37a068b3052a615fa903ad84d5dfa9aa4f,default,1
MNG-5402,f95ab2e7cdb488442ab923abe6ec856efc993dd3,default,1
MNG-5452,2a4d172600a6252da662edb450e9513067d6ef9e,default,1
MNG-548,bf7390cde7fcde4702ea260fbe02e5ad558e5fc4,default,1
MNG-5482,ac64dd6bb6096e8dbd54e3520208e5737fb1c804,default,1
MNG-549,f9eaca7ab0502900ad6e05b4bb1ab819bf2cad25,default,1
MNG-551,2af9312363cb1b8b70ca06eb6b65d58de73c48f3,default,1
MNG-5530,2ef658430f17cddbef611e748d5caed335d8afac,default,1
MNG-5530,8700b058574ea79544603ee4eacd6171ef03aa46,default,1
MNG-5549,e698ce6e67f10df1d830d22e9b0143c6b5549f79,default,1
MNG-5549,bc84e6c7d307f119d82d5ae8082cc5e4f7eb7996,default,1
MNG-5575,09961c3150b1a9ddaa88760d3a91f86542e5827d,default,1
MNG-5576,88d0abcd30a0ab040850b3086b3f0ddd8e9607f3,default,1
MNG-5578,702acd2e8beb7d5c159edbc59bcbf752b5f1963d,default,1
MNG-5578,48fec9440dab16d11aadd45db3216b3a5ea3f564,default,1
MNG-5578,1d84cbeffad39dcd57f85cb312e17c46c9d3dac7,default,1
MNG-5581,f8afa711df2aeab23d2d08214ba100ee704d23ba,default,1
MNG-5582,8d489a2deb33cb7a6dcd87277c5d4476d458deaf,default,1
MNG-5607,065281c43d7435be204aa963e1f94d1128bb5351,default,1
MNG-5608,06a7d6dd8b0d50bc1d13e4e2918c567a70ed2f6f,default,1
MNG-5608,64c41950671b6b5472532cd2e34f28fff17c5fee,default,1
MNG-5625,bd27f7814fcc1b0d07a500f9dc9b14c89c3484e2,default,1
MNG-5625,9468599ca3f5a242481242c9ed32060a9d65ee2d,default,1
MNG-5625,7a3e1ad74085cec6eba38dd177097c921273f26a,default,1
MNG-5630,a90d71e024b7bc0f09e8c33908e3ce936e98df97,default,1
MNG-5630,2cea7c6f84c7b3f4862514576dce5a6f87783f1e,default,1
MNG-5649,618e62dd3315b4cb5b0f7dcdd37fc787c44b2ade,default,1
MNG-5713,b0eb12b662eddefc72cc4904d51a7f514de77e8d,default,1
MNG-5718,fa4f7040ad0a9a7dfdc0e917f2f84ed283f1fd19,default,1
MNG-5734,b8dcb08731ce7e43399320ce7c7579c4a24481c9,default,1
MNG-575,3af4a18f485e7d10f404367bcb8985d8ea1ba32c,default,1
MNG-5754,b6ae8ef8abfa16f03dcf3d0bf9697be64da138fe,default,1
MNG-5754,4f05b59de9ff8582ccd3bc4067a7ba72aad7b8cd,default,1
MNG-5754,f75008743b2c0fa19ca83c46535c24bb5e2c9215,default,1
MNG-576,133d3c9330b8e7146b8208ed3463bedf53e61487,default,1
MNG-576,0cc696a40788d34edec8df6c147bc9a2a3f831b2,default,1
MNG-5767,b01bf0c3d4ba970742a0508ad40c399e45771b70,default,1
MNG-5767,e28be4d33a0c2a1e4baeba56faace665804dfb60,default,1
MNG-5767,8ed9a1caa8890773b45c6c408a4e40acf4f4b0fd,default,1
MNG-5768,ee7dbab69dd87d219031b0715105527cdbf12639,default,1
MNG-5771,6efacdb3fc5e8369fa3586c0603184dc785303da,default,1
MNG-5771,8631d79ca3b2f08a610196ac04a7b7cde4832c4a,default,1
MNG-5794,874eaef72543828be8f3bcc64799b94b3f390297,default,1
MNG-5805,6b31c4a556f51cd1c2064fe773550c0acf14d307,default,1
MNG-5805,9f7971dadbec8882b4c119345494b620d3a1f897,default,1
MNG-5805,3677220f6e499e97f2b47b0593bc394b689d14d6,default,1
MNG-5805,1d148be82bcf3e16c01477d412f4f9206445a7aa,default,1
MNG-581,17fa8ba4ea4123c18ceb67a5a6ae536e63dbb6f6,default,1
MNG-5871,2f7daeff5802174c7b4ff8a4d2ac019b6406d03b,default,1
MNG-5871,200d2f9935c537bf91328150192386d4fbf11554,default,1
MNG-5906,b711de57dcd7d5db5b97ab4c9e1a618293e33a4d,default,1
MNG-5934,8d91726f7872f4462d9fa085ef5b6f32bfd0a2e1,default,1
MNG-595,f37561b2e3df14406c3944901a8e7102e58f8669,default,1
MNG-5975,355f4dff03cea8cab0d7bdcb00fffa4e43b2c10b,default,1
MNG-5977,149cce7a867956efeaf72d527f61297bf2471b1e,default,1
MNG-5993,017dcaf22a2cc1c6361dc64a02d1bdbdb799b95e,default,1
MNG-6030,cfb075ac706b25df630f3671f61f8d8313e0f138,default,1
MNG-6078,f661fc298e80208911838f5acce9840ea1a97e3f,default,1
MNG-6078,dc9c4db4494b62e2231bb67b39678decf6329852,default,1
MNG-6078,5885e70e24a69914da892eb343906658d5463bfa,default,1
MNG-6078,ca4303031357a7decaee8de770b71fb2c2fedd28,default,1
MNG-6081,a2358ba7bb9b5b8ccb4ca2b6ea66b637b88d6c09,default,1
MNG-6102,be5caccaff3d00ffca4b3cefe9665b6106bc44bf,default,1
MNG-6115,181b0215aa1199e152db9d2c08b1a01436547805,default,1
MNG-613,935dcdf0f73eddd13a67f18d79f8f27d455cf815,default,1
MNG-613,40738a5a8628e44aee17fcfc20d8c78fffed0dbc,default,1
MNG-613,3a4b91b3108aa8f0972f59cfc6d38d775c6d2688,default,1
MNG-613,02cc158420379643f40e005e8f4a8d2f398ed373,default,1
MNG-613,27ad44e1164e4239bd1d095b9057103ef0a5ff10,default,1
MNG-613,9c060b192a0bfda57e3e8fb2220b6f7930e60397,default,1
MNG-613,ba35fd59655956f507c0a856cac00d4f2065750d,default,1
MNG-613,3a4efa102918ee1254e01f5653697db7d700ddd2,default,1
MNG-613,cb2370199b6cf0c1c62bf36d568ac386780ff12f,default,1
MNG-613,00e365d2ced5674e3b8e542ba561cadbb52b90aa,default,1
MNG-613,8f3c207194a7c4f40bea6b3e885ab873315f160e,default,1
MNG-613,abd4ae6018ff815835cc95ce4639375bad5cb39a,default,1
MNG-613,e0457b02042e7009b32ed6d8bd92e8bf83436a16,default,1
MNG-6146,17402659845ea21b0dd9f9989d484fb32c3aa28b,default,1
MNG-6147,f53f1547a16fb0f7e288de5c4684c599652ee601,default,1
MNG-6150,b66bdb9cbc383fd4cc875006afe9fe6d4de26397,default,1
MNG-616,f8cbb08498bc497d3f6b774c8a97c6a470933a0e,default,1
MNG-6165,1be7ea893e3db1e47a4cf84c0592e0aaea24a6c3,default,1
MNG-6185,00c82b7e234c6ed33f76ba48a236130c5511ab3a,default,1
MNG-6189,16382802611939a8876fe553208e8b0f4da606a6,default,1
MNG-621,6508398316614bf1c63324281a40cb7d03fa5ef8,default,1
MNG-622,6508398316614bf1c63324281a40cb7d03fa5ef8,default,1
MNG-6228,fd988e78e95a53c3a39ec944869ba62b0c7fc0f0,default,1
MNG-623,4de1c8c892e3c391e46c3e3be48ede5e6827f0a5,default,1
MNG-625,a4343cf767774b3049e02856b19db55f5a56133f,default,1
MNG-632,c23770947f4c3f7c37c793d017bf93d7ac134ff1,default,1
MNG-642,ee4e4bc62950dbd88d2469f96b7e9e53c530d1a5,default,1
MNG-643,78bd69c44c1857ac008f16213e34323b3f5939a4,default,1
MNG-652,cb41f94717bd043d9ae00012498a7ea04a5fbb39,default,1
MNG-653,7fd4c749fb3568f29dc0fbf7f31efd66107bec4f,default,1
MNG-662,786091aa6c674c4f1d01b2b70648511e60221c95,default,1
MNG-662,8f4b0deaaf3d9a4abdace5500d3a317402a4815b,default,1
MNG-662,094a5a4312d6f61319eb4f4e70fff791a633f068,default,1
MNG-663,120ade04b086e79d3b9fc6168e87e9d6b50ac9b7,default,1
MNG-669,def783e4cffbe91beea9454e2ccae2db1c2a1e2c,default,1
MNG-670,86c55a3bd13b6bd83d705ad4de8702cc78914ad2,default,1
MNG-670,3c461ef89d5b06bd26fc782625a9de05ebd2f2cb,default,1
MNG-686,155c0a69a72cce1eb5b2c79d4ad08e2abfcf5314,default,1
MNG-710,b88302c2099db0aa30dc4c41b6122c7c6c192765,default,1
MNG-710,daba7dca27684b7c19a0aaf6e857dfd60f7145fc,default,1
MNG-715,0b4aa2dc4141fa107008c3efebd49fcd4a4d3a6a,default,1
MNG-721,ce8f50cc0a6e4cf8320f652fc92a50225625e246,default,1
MNG-721,7ac27ec84cf1766c37767b4b87c768d8ed33fcc1,default,1
MNG-73,b4e6c5b9075b32b6f279ecbb49286ccbc5dac59a,default,1
MNG-732,39a609608665697624e41eb62ff4d6f1faad9c23,default,1
MNG-738,84d1a85baff7daad9a77ddb1ab174af510ad02ed,default,1
MNG-738,a98961eeedc4cd03fc02694b9502939edbfe43b2,default,1
MNG-742,0bb64a478bbf795df8b69e2fe267ebdd8c8e6481,default,1
MNG-753,b0c3a2fedcd5255debff6d03a60d7a4483430019,default,1
MNG-753,cddc9df70e8a0798762342a828f5ea0038ed3101,default,1
MNG-753,d466205274b1a04edc89551db56aa32049ee2b39,default,1
MNG-758,bc77a5ba07e5f26c0c841bf1bd1f370f5f24d956,default,1
MNG-760,fe3df1bd1d702d6b769a8d62015e5011a70ecc15,default,1
MNG-764,87dc3a9e1608adadd9fea25d9d45caecdd478b0c,default,1
MNG-801,2715208e7496a889cacc6bbd635be5621a6bba10,default,1
MNG-828,ae893b50559353b28c8bcf696ca5a48d5e8e6845,default,1
MNG-829,286075ab3851a6a4b3c8a07cdc5ce1bddb0f340e,default,1
MNG-829,9ad08679f81929e7104a60bafc4fd9b346fc2ac1,default,1
MNG-830,779e7867f45fd402710e9bf79f078cdfb72a45cb,default,1
MNG-850,5d3ae9656b2a7f8dedb33e738586af62b597a24f,default,1
MNG-852,d18e4b8a1b3f61c44e49dbffe9b52cf9328e2d69,default,1
MNG-853,42718256a53230229a82f7253a2b73631213c140,default,1
MNG-854,698d6a9567e5872160639c6fbb7a64c8707f1aa1,default,1
MNG-856,0f021ff7eb7cc6abff55e5cfcc53188e5c4ad928,default,1
MNG-858,a6a01793d88a4b7c0e0c023882fde33ce0b17c62,default,1
MNG-897,896baf28323092a18b244c0642fe2e746818f997,default,1
MNG-897,cd60968a2aa0a82aa579ddf58653517930d189e6,default,1
MNG-90,74c818888a284151227cefd6817889782c9ace30,default,1
MNG-934,def783e4cffbe91beea9454e2ccae2db1c2a1e2c,default,1
MNG-938,a2c8a904cc423b2beb1b228390e06d977d57f9bd,default,1
MNG-947,99db09fcac4b01d198e3d7d32b5870e15fed4135,default,1
MNG-947,f3932e47fa1361d8baeba260a4a9c48f70a09b1f,default,1
MNG-95,b69490b82874e311a1407921fc3ba1f913de7c75,default,1
MNG-953,5cec6658fbde56c9cb027e36502d46055607653f,default,1
MNG-962,3510e98e3f6626a2965fd4d749c2cc9fa7fee26e,default,1
MNG-971,ae98e4f4b8892ae85d71bccd7e20ef558856262a,default,1
